Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
41,S Haykin,Neural networks: a comprehensive foundation,64341,1994, dl.acm.org,,"… available of neural networks from an … networks, self-organizing systems, modular networks, 
temporal processing and neurodynamics, and VLSI implementation of neural networks. …",https://dl.acm.org/doi/abs/10.5555/541500,2011
83,CM Bishop,Neural networks for pattern recognition,38287,1995, books.google.com,,"… neural networks than previously available, which reflects these developments. By deliberately 
concentrating on the pattern recognition aspects of neural networks, … , neural networks can …",https://books.google.com/books?hl=en&lr=&id=T0S0BgAAQBAJ&oi=fnd&pg=PP1&dq=Neural+Networks&ots=jO6YtHbBoj&sig=sQfWeBStJ_lkdre9S3QtlYQQGEc,1235
66,"C Szegedy, W Zaremba, I Sutskever, J Bruna…",Intriguing properties of neural networks,19040,2013, arxiv.org, arXiv preprint arXiv …,"… high layers of neural networks. Second, we find that deep neural networks learn input-output 
mappings that are fairly discontinuous to a significant extent. We can cause the network to …",https://arxiv.org/abs/1312.6199,1465
78,RP Lippmann,An introduction to computing with neural nets,13180,1988, dl.acm.org, ACM SIGARCH Computer Architecture News,"… neural nets caused … neural nets by reviewing six important neural net models that can be 
used for pattern classification. These nets are highly parallel building blocks that illustrate neural…",https://dl.acm.org/doi/abs/10.1145/44571.44572,347
88,"N Carlini, D Wagner",Towards evaluating the robustness of neural networks,11007,2017, ieeexplore.ieee.org, 2017 ieee symposium on security and …,"… Unfortunately, neural networks are vulnerable to … neural networks in security-critical areas. 
Defensive distillation is a recently proposed approach that can take an arbitrary neural network…",https://ieeexplore.ieee.org/abstract/document/7958570/,1223
100,"J Gu, Z Wang, J Kuen, L Ma, A Shahroudy, B Shuai…",Recent advances in convolutional neural networks,7406,2018, Elsevier, Pattern recognition,"… of deep neural networks, convolutional neural networks have … research on convolutional 
neural networks has been emerged … applications of convolutional neural networks in computer …",https://www.sciencedirect.com/science/article/pii/S0031320317304120,926
68,"C Guo, G Pleiss, Y Sun…",On calibration of modern neural networks,7174,2017, proceedings.mlr.press, … conference on machine …,"… neural networks today are undoubtedly more accurate than they were a decade ago, we 
discover with great surprise that modern neural networks … understand why neural networks have …",http://proceedings.mlr.press/v70/guo17a.html,797
73,MA Nielsen,Neural networks and deep learning,6099,2015, aliosmangokcan.com,,"… artificial neurons – in this book, and in much modern work on neural networks, the main 
neuron model used is one called the sigmoid neuron. We’ll get to sigmoid neurons shortly. But to …",http://aliosmangokcan.com/images/notes/yapay_sinir_agi_derin_ogrenme_pdf_ders_notu_e-book.pdf,554
82,"AK Jain, J Mao, KM Mohiuddin",Artificial neural networks: A tutorial,5646,1996, ieeexplore.ieee.org, Computer,"Artificial neural nets (ANNs) are massively parallel systems with large numbers of … the basic 
biological neuron and the artificial computational model. It outlines network architectures and …",https://ieeexplore.ieee.org/abstract/document/485891/,188
28,"K O'shea, R Nash",An introduction to convolutional neural networks,5610,2015, arxiv.org, arXiv preprint arXiv:1511.08458,"… This paper has outlined the basic concepts of Convolutional Neural Networks, … the network 
in most image analysis tasks. Research in the field of image analysis using neural networks …",https://arxiv.org/abs/1511.08458,510
44,R Rojas,Neural networks: a systematic introduction,5481,2013, books.google.com,,"… available hardware for neural networks. We are still struggling with neural network theory, … 
start our journey into the fascinating world of artificial neural networks without further delay. …",https://books.google.com/books?hl=en&lr=&id=4rESBwAAQBAJ&oi=fnd&pg=PA3&dq=Neural+Networks&ots=VCgdgR4VoT&sig=LRUOc7VDtlnakXg442u_DEHb8Aw,422
90,"Z Li, F Liu, W Yang, S Peng…","A survey of convolutional neural networks: analysis, applications, and prospects",4736,2021, ieeexplore.ieee.org, … on neural networks and …,"… most representative neural networks in the field of deep learning. Computer vision based 
on CNN … The emergence of CNNs cannot be separated from artificial neural networks (ANNs). …",https://ieeexplore.ieee.org/abstract/document/9451544/,947
30,MH Hassoun,Fundamentals of artificial neural networks,4183,1995, books.google.com,,"… account of artificial neural network paradigms by … by neural network researchers. Such a 
systematic and unified treatment, although sadly lacking in most recent texts on neural networks, …",https://books.google.com/books?hl=en&lr=&id=Otk32Y3QkxQC&oi=fnd&pg=PR19&dq=Neural+Networks&ots=de3TeGChQ7&sig=DHuq6HTrztuklWJqbef7TrkvHkc,135
43,CC Aggarwal,Neural networks and deep learning,4148,2018, Springer,,"… of neural networks is an exciting one and evokes comparisons with science fiction, neural 
networks … The neural network abstraction can be viewed as a modular approach of enabling …",https://link.springer.com/content/pdf/10.1007/978-3-031-29642-0.pdf,518
77,X Yao,Evolving artificial neural networks,4010,1999, ieeexplore.ieee.org, Proceedings of the IEEE,"Learning and evolution are two fundamental forms of adaptation. There has been a great 
interest in combining learning and evolution with artificial neural networks (ANNs) in recent …",https://ieeexplore.ieee.org/abstract/document/784219/,149
57,"A Vedaldi, K Lenc",Matconvnet: Convolutional neural networks for matlab,3576,2015, dl.acm.org, Proceedings of the 23rd ACM international …,"MatConvNet is an open source implementation of Convolutional Neural Networks (CNNs) 
with a deep integration in the MATLAB environment. The toolbox is designed with an …",https://dl.acm.org/doi/abs/10.1145/2733373.2807412,325
2,K Gurney,An introduction to neural networks,3441,2018, taylorfrancis.com,,"… The term “Neural networks” is a very evocative one. It suggests machines that are … One of 
the main tasks of this book is to demystify neural networks and show how, while they indeed …",https://www.taylorfrancis.com/books/mono/10.1201/9781315273570/introduction-neural-networks-kevin-gurney,430
